,Date,Open,Close,High,Low,Volume,Percent Change
AAPL,2025-10-29 02:59:56,269.20001220703125,269.0299987792969,269.3550109863281,268.6000061035156,5339653,-0.06
MSFT,2025-10-29 02:59:56,544.5999755859375,542.010009765625,544.6597290039062,541.7999877929688,2627395,-0.48
GOOG,2025-10-29 02:59:57,268.75,268.44000244140625,268.8999938964844,268.0899963378906,2616932,-0.12
AMZN,2025-10-29 02:59:57,230.35499572753906,229.24000549316406,230.44500732421875,228.57000732421875,4917812,-0.48
META,2025-10-29 02:59:57,753.6799926757812,751.3699951171875,753.6799926757812,750.7999877929688,1428073,-0.31
